Autobesitz,Autoleistung,Zeitkarte,Fuehrerschein,Autozugang,Fahrradzugang,Gegenstandstransport,Personentransport,Campusbewohner,PLZ,Geschlecht,Alter,Haushalt,Kinder,Bildungsabschluss,Bildungsabschluss2,Einkommen,SD18_01,Gruppe,Taetigkeit_2019,V903_01,V903_02,V903_03,V903_04,V903_05,V903_06,V903_07,V903_08,V903_09,V904,V904x01,V904x02,V905,Sharing_2019,Sharing_2019_Carsharing,Sharing_2019_Bikesharing,Sharing_2019_Roller,Sharing_2019_andere,Sharing_2019_nein,V001,V003_01,V003_02,V003_03,V003_04,V003_05,V003_06,V003_07,V003_08,V003_09,V004,V004x01,V004x02,V004x03,V005,V007_CN,Sharing_2020,Sharing_2020_Carsharing,Sharing_2020_Bikesharing,Sharing_2020_Roller,Sharing_2020_andere,Sharing_2020_nein,Entfernung_Wohnort_Campus,Bereitschaft_Sharing,Anzahl_Anforderungen_Sharing,Anforderungen1,Anforderungen2,Anforderungen3,Anforderungen4,Anforderungen5,Anforderungen6,Anforderungen7,Anforderungen8,Anforderungen9,Anzahl_gewaehlter_Sharing_Verkehrsmittel,desired_Sharing_Autos,desired_Sharing_Fahrräder,desired_Sharing_Lastenräder,desired_Sharing_Roller,desired_Sharing_Sonstige,desired_Sharing_Sonstige_open,Bereitschaft_Sharing2
32,1,1,1,3,4,1,1,2,816,2,2,2,2,10,Dr.-Ing.,7,,4,1,-1,-9,-9,101,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,76,-9,10,-9,-9,-9,-9,-9,-9,0,,,,2,1,1,1,1,1,1,2,6,1,1,"Hohe Verfügbarkeit, einfaches Handling",,,,,,,,,2,2,2,1,1,1,,1
31,2,2,1,4,4,2,2,1,915,2,2,,,7,,6,,1,1,81,9,-9,-9,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,53,49,-9,3,-9,-9,-9,3,-9,0,,,,2,1,1,1,1,1,1,2,190,4,2,kostengünstig,einfache Buchung,,,,,,,,1,1,1,2,1,1,,1
32,1,1,1,2,4,2,1,2,864,2,6,5,1,8,,8,,4,1,-9,-9,-9,101,53,53,-9,-9,-9,0,,,5,1,1,1,1,1,2,,-9,-9,-9,101,51,51,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,50,1,1,"rasche, unkomplizierte Verfügbarkeit, adäquates Preismodell",,,,,,,,,1,1,2,1,1,1,,1
31,5,2,1,4,1,3,2,1,557,2,2,,,7,,4,Bevor der Pandemie habe ich das Angebot öfter genutzt ,1,2,,,,,,,,,,,,,,,,,,,,1,101,1,1,1,1,1,1,1,-9,0,,,,2,1,1,1,1,1,1,2,492,1,0,,,,,,,,,,2,2,1,1,2,1,,1
1,,1,1,1,4,2,1,2,141,2,6,1,2,8,,9,"Finde ich super, dass Sie im Bereich moderne Mobilität forschen, viel Erfolg!",5,1,-9,-9,-9,101,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,-9,-9,-9,101,-9,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,600,1,3,"Umweltfreundlich (Elektroauto), einfach (Fester Miet-, Minuten-, oder km-Preis, keine Mischung; idealerweise verbunden mit ",dem Unibw-Fuhrpark; Verfügbarkeit für kurze [z.B. bis U-Bahn-Halt Neuperlach Süd] und lange Strecke [z.B. für eine Woche,Ausflug; in niedrigerer Priorität Preis-Leistungs-Verhältnis.,,,,,,,1,2,1,1,1,1,,1
31,2,1,1,4,4,3,2,1,855,1,2,,,8,,6,,1,1,101,50,-1,-9,-9,-1,-9,-9,-9,0,,,2,1,1,1,1,1,2,,56,-9,24,89,-9,-9,-9,-9,-9,0,,,,2,1,1,1,1,1,1,2,500,1,3,Verfügbarkeit ,Komfort,Leichte Bedienung ,,,,,,,1,2,1,1,1,1,,1
31,3,2,1,4,4,2,1,2,835,2,9,2,2,10,Promotion,9,,5,1,72,-9,-9,-1,-9,-9,-9,34,-9,0,,,5,1,1,1,1,1,2,,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,53,4,1,"Spontane Verfügbarkeit, Gutes Preis-Leistungs-Verhältnis",,,,,,,,,4,2,2,2,2,1,,1
34,6,2,1,4,4,2,1,1,535,2,2,,,7,,6,"- um nachhaltigen Individualverkehr für Studenten zu ermöglichen, braucht es auf dem Campus endlich E-Ladesäulen! ",1,1,74,60,-9,28,-9,-9,-9,-9,-9,0,,,4,1,1,1,1,1,2,,17,-9,-9,92,-9,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,560,5,0,,,,,,,,,,1,1,1,1,2,1,,0
32,5,2,1,4,4,2,3,1,855,2,6,,,8,,9,Tolle Umfrage,5,1,35,-9,-9,-9,61,-9,-9,-9,-1,0,,,4,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,3,4,0,,,,,,,,,,1,2,1,1,1,1,,1
32,6,2,1,4,4,2,1,1,312,2,2,,,7,,6,,1,1,25,9,-9,69,-9,-9,-9,-9,-9,2,"Bus, Bahn und Flugzeug",Bus und Bahn ,1,1,1,1,1,1,2,,72,-9,-9,27,-9,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,650,1,5,24/7 zur Verfügung,"Annahme und Rückgabe nicht am selben Ort, aber in einem Radius",kostengünstig,Klare Kommunizierung der Preise und Versicherungsstruktur,"Intuitives Bezahlsystem (QR zu PayPal, Klarna, ...)",,,,,2,2,1,1,2,1,,1
