zeit,zaehlstelle,gesamt
2017-06-01 00:00:00,Arnulf,38
2017-06-01 00:00:00,Erhardt,136
2017-06-01 00:00:00,Hirsch,16
2017-06-01 00:00:00,Kreuther,0
2017-06-01 00:00:00,Margareten,33
2017-06-01 00:00:00,Olympia,29
2017-06-01 01:00:00,Arnulf,17
2017-06-01 01:00:00,Erhardt,36
2017-06-01 01:00:00,Hirsch,4
2017-06-01 01:00:00,Kreuther,0
2017-06-01 01:00:00,Margareten,22
2017-06-01 01:00:00,Olympia,14
2017-06-01 02:00:00,Arnulf,3
2017-06-01 02:00:00,Erhardt,24
2017-06-01 02:00:00,Hirsch,5
2017-06-01 02:00:00,Kreuther,5
2017-06-01 02:00:00,Margareten,9
2017-06-01 02:00:00,Olympia,1
2017-06-01 03:00:00,Arnulf,1
2017-06-01 03:00:00,Erhardt,5
2017-06-01 03:00:00,Hirsch,0
2017-06-01 03:00:00,Kreuther,1
2017-06-01 03:00:00,Margareten,3
2017-06-01 03:00:00,Olympia,1
2017-06-01 04:00:00,Arnulf,2
2017-06-01 04:00:00,Erhardt,7
2017-06-01 04:00:00,Hirsch,2
2017-06-01 04:00:00,Kreuther,0
2017-06-01 04:00:00,Margareten,2
2017-06-01 04:00:00,Olympia,2
2017-06-01 05:00:00,Arnulf,17
2017-06-01 05:00:00,Erhardt,13
2017-06-01 05:00:00,Hirsch,4
2017-06-01 05:00:00,Kreuther,1
2017-06-01 05:00:00,Margareten,13
2017-06-01 05:00:00,Olympia,5
2017-06-01 06:00:00,Arnulf,62
2017-06-01 06:00:00,Erhardt,83
2017-06-01 06:00:00,Hirsch,55
2017-06-01 06:00:00,Kreuther,7
2017-06-01 06:00:00,Margareten,71
2017-06-01 06:00:00,Olympia,39
2017-06-01 07:00:00,Arnulf,119
2017-06-01 07:00:00,Erhardt,268
2017-06-01 07:00:00,Hirsch,172
2017-06-01 07:00:00,Kreuther,35
2017-06-01 07:00:00,Margareten,204
2017-06-01 07:00:00,Olympia,124
2017-06-01 08:00:00,Arnulf,239
2017-06-01 08:00:00,Erhardt,714
2017-06-01 08:00:00,Hirsch,394
2017-06-01 08:00:00,Kreuther,71
2017-06-01 08:00:00,Margareten,537
2017-06-01 08:00:00,Olympia,290
2017-06-01 09:00:00,Arnulf,246
2017-06-01 09:00:00,Erhardt,629
2017-06-01 09:00:00,Hirsch,271
2017-06-01 09:00:00,Kreuther,37
2017-06-01 09:00:00,Margareten,356
2017-06-01 09:00:00,Olympia,222
2017-06-01 10:00:00,Arnulf,89
2017-06-01 10:00:00,Erhardt,312
2017-06-01 10:00:00,Hirsch,76
2017-06-01 10:00:00,Kreuther,12
2017-06-01 10:00:00,Margareten,179
2017-06-01 10:00:00,Olympia,106
2017-06-01 11:00:00,Arnulf,88
2017-06-01 11:00:00,Erhardt,211
2017-06-01 11:00:00,Hirsch,49
2017-06-01 11:00:00,Kreuther,20
2017-06-01 11:00:00,Margareten,180
2017-06-01 11:00:00,Olympia,60
2017-06-01 12:00:00,Arnulf,103
2017-06-01 12:00:00,Erhardt,219
2017-06-01 12:00:00,Hirsch,67
2017-06-01 12:00:00,Kreuther,16
2017-06-01 12:00:00,Margareten,178
2017-06-01 12:00:00,Olympia,97
2017-06-01 13:00:00,Arnulf,91
2017-06-01 13:00:00,Erhardt,288
2017-06-01 13:00:00,Hirsch,79
2017-06-01 13:00:00,Kreuther,22
2017-06-01 13:00:00,Margareten,208
2017-06-01 13:00:00,Olympia,112
2017-06-01 14:00:00,Arnulf,99
2017-06-01 14:00:00,Erhardt,313
2017-06-01 14:00:00,Hirsch,81
2017-06-01 14:00:00,Kreuther,25
2017-06-01 14:00:00,Margareten,205
2017-06-01 14:00:00,Olympia,126
2017-06-01 15:00:00,Arnulf,100
2017-06-01 15:00:00,Erhardt,354
2017-06-01 15:00:00,Hirsch,133
2017-06-01 15:00:00,Kreuther,22
